EmployeeCode,Name,Month,TotalPresentDays,Present,WorkFromHome,PaidLeave,SickLeave,BirthdayLeave,FloatingFestivalLeave,BereavementLeave,LeaveWithoutPay,WeeklyOff,HolidayOff,MenstrualLeave
Atq -406,Thanos Thakur,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -462,Jarvis Singh,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -411,Nevaeh Waller,Apr 2022,21.0,20.0,1.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -398,Bo Cordova,Apr 2022,15.0,12.0,3.0,6.0,0.0,0,0,0,0.0,9,0,1.0
Atq -438,Mekhi Singleton,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -366,Peter Pandey,Apr 2022,20.0,20.0,0.0,1.0,0.0,0,0,0,0.0,9,0,0.0
Atq -441,Loki Lal,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -436,Phoenix Brady,Apr 2022,18.0,18.0,0.0,3.0,0.0,0,0,0,0.0,9,0,0.0
Atq -404,Ana Little,Apr 2022,15.5,15.5,0.0,4.5,1.0,0,0,0,0.0,9,0,0.0
Atq -397,Grace Stone,Apr 2022,20.0,19.0,1.0,1.0,0.0,0,0,0,0.0,9,0,1.0
Atq -335,Tori Shannon,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -443,Lyric Bartlett,Apr 2022,21.0,20.0,1.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -419,Kaylah Schultz,Apr 2022,20.0,18.0,2.0,1.0,0.0,0,0,0,0.0,9,0,0.0
Atq -467,Cason David,Apr 2022,20.5,19.5,1.0,0.0,0.5,0,0,0,0.0,9,0,0.0
Atq -450,Miya Hampton,Apr 2022,20.0,19.5,0.5,1.0,0.0,0,0,0,0.0,9,0,0.5
Atq -405,Sofia Solis,Apr 2022,20.5,20.5,0.0,0.5,0.0,0,0,0,0.0,9,0,0.0
Atq -440,Mckayla Parker,Apr 2022,19.0,19.0,0.0,0.0,2.0,0,0,0,0.0,9,0,0.0
Atq -335,Madelynn Gray,Apr 2022,15.0,14.0,1.0,6.0,0.0,0,0,0,0.0,9,0,0.0
Atq -343,Myla Klein,Apr 2022,20.0,20.0,0.0,1.0,0.0,0,0,0,0.0,9,0,0.0
Atq -334,Boston Morse,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -446,April Ayers,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,1,0,0.0,9,0,0.0
Atq -419,Faith Hamilton,Apr 2022,20.0,20.0,0.0,1.0,0.0,0,0,0,0.0,9,0,0.0
Atq -393,Janelle Raymond,Apr 2022,8.0,8.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.5
Atq -396,Joel Cruz,Apr 2022,21.0,1.0,20.0,0.0,0.0,0,0,0,0.0,9,0,0.5
Atq -459,Iris Woodard,Apr 2022,20.0,20.0,0.0,0.0,0.0,1,0,0,0.0,9,0,0.0
Atq -349,Trystan Ortega,Apr 2022,19.5,19.5,0.0,1.5,0.0,0,0,0,0.0,9,0,1.0
Atq -438,Miles Fields,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -423,Rodrigo Price,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -370,Ella Roth,Apr 2022,19.5,17.5,2.0,0.5,1.0,0,0,0,0.0,9,0,0.0
